,id,full_name,is_active
605,76331,Bill Calhoun,0
606,76330,Corky Calhoun,0
607,76332,Demetrius Calip,0
608,76333,Tom Callahan,0
609,76334,Rick Calloway,0
610,76335,Ernie Calverley,0
611,76336,Mack Calvin,0
612,76337,Dexter Cambridge,0
613,948,Marcus Camby,0
614,922,Elden Campbell,0
615,76338,Tony Campbell,0
616,203477,Isaiah Canaan,0
617,1628427,Vlatko Cancar,0
618,76339,Larry Cannon,0
619,203991,Clint Capela,0
620,202382,Derrick Caracter,0
621,2073,Brian Cardinal,0
622,76340,Howie Carl,0
623,76341,Chet Carlisle,0
624,2367,Geno Carlisle,0
625,76342,Rick Carlisle,0
626,76343,Al Carlson,0
627,76344,Don Carlson,0
628,76345,Bob Carney,0
629,200760,Rodney Carney,0
630,76346,Bob Carpenter,0
631,156,Antoine Carr,0
632,76348,Austin Carr,0
633,713,Chris Carr,0
634,1757,Cory Carr,0
635,76350,Kenny Carr,0
636,76351,M.L. Carr,0
637,76352,Bob Carrington,0
638,201960,DeMarre Carroll,0
639,76353,Joe Barry Carroll,0
640,2679,Matt Carroll,0
641,1131,Jimmy Carruth,0
642,1853,Anthony Carter,0
643,76355,Butch Carter,0
644,76356,Fred Carter,0
645,76357,George Carter,0
646,76358,Howard Carter,0
647,76359,Jake Carter,0
648,1628975,Jevon Carter,0
649,2466,Maurice Carter,0
650,76360,Reggie Carter,0
651,76361,Ron Carter,0
652,1713,Vince Carter,0
653,1628976,Wendell Carter Jr.,0
654,203487,Michael Carter-Williams,0
655,76362,Bill Cartwright,0
656,76363,Jay Carty,0
657,1627936,Alex Caruso,0
658,76364,Cornelius Cash,0
659,208,Sam Cassell,0
660,201956,Omri Casspi,0
661,76365,Harvey Catchings,0
662,767,Terry Catledge,0
663,76367,Sid Catlett,0
664,1509,Kelvin Cato,0
665,76368,Bobby Cattage,0
666,1626161,Willie Cauley-Stein,0
667,1628505,Troy Caupain,0
668,190,Duane Causwell,0
669,1628463,Tyler Cavanaugh,0
670,76370,Ron Cavenall,0
671,76,Cedric Ceballos,0
672,1911,John Celestand,0
673,76373,Al Cervi,0
674,2763,Lionel Chalmers,0
675,201596,Mario Chalmers,0
676,76374,Bill Chamberlain,0
677,76375,Wilt Chamberlain,0
678,76376,Jerry Chambers,0
679,1472,Tom Chambers,0
680,76378,Mike Champion,0
681,2199,Tyson Chandler,0
682,201163,Wilson Chandler,0
683,76379,Don Chaney,0
684,76380,John Chaney,0
685,364,Rex Chapman,0
686,76382,Len Chappell,0
687,76383,Ken Charles,0
688,76384,Lorenzo Charles,0
689,1629147,Joe Chealey,0
690,384,Calbert Cheaney,0
691,1629597,Zylan Cheatham,0
692,76385,Maurice Cheeks,0
693,76386,Phil Chenier,0
694,203805,Will Cherry,0
695,76387,Derrick Chievous,0
696,432,Pete Chilcutt,0
697,2735,Josh Childress,0
698,719,Randolph Childress,0
699,164,Chris Childs,0
700,1629185,Chris Chiozza,0
701,76391,Leroy Chollet,0
702,76392,Jim Chones,0
703,1627737,Marquese Chriss,0
704,76393,Fred Christ,0
705,76394,Cal Christensen,0
706,76395,Bob Christian,0
707,57,Doug Christie,0
708,202091,Dionte Christmas,0
709,1626176,Rakeem Christmas,0
710,203902,Semaj Christon,0
711,203565,Patrick Christopher,0
712,928,Robert Churchwell,0
713,76397,Archie Clark,0
714,76398,Carlos Clark,0
715,201947,Earl Clark,0
716,1629109,Gary Clark,0
717,203546,Ian Clark,0
718,1721,Keon Clark,0
719,1629634,Brandon Clarke,0
720,1626262,Coty Clarke,0
721,203903,Jordan Clarkson,0
722,1628492,Gian Clavell,0
723,201964,Victor Claver,0
724,1127,Charles Claxton,0
725,1629651,Nicolas Claxton,0
726,2049,Speedy Claxton,0
727,76402,Jim Cleamons,0
728,2043,Mateen Cleaves,0
729,76403,John Clemens,0
730,1629598,Chris Clemons,0
731,1628499,Antonius Cleveland,0
732,76404,Nat Clifton,0
733,76406,Bill Closs,0
734,1569,Keith Closs,0
735,76407,Paul Cloyd,0
736,76408,Marion Cluggish,0
737,76409,Ben Clyde,0
738,1629599,Amir Coffey,0
739,76410,Richard Coffey,0
740,76411,Fred Cofield,0
741,715,John Coker,0
742,202708,Norris Cole,0
743,76412,Ben Coleman,0
744,934,Derrick Coleman,0
745,76413,E.C. Coleman,0
746,76414,Jack Coleman,0
747,76415,Norris Coleman,0
748,902,Bimbo Coles,0
749,2044,Jason Collier,0
750,76416,Art Collins,0
751,76418,Don Collins,0
752,76421,Doug Collins,0
753,1530,James Collins,0
754,2260,Jarron Collins,0
755,2215,Jason Collins,0
756,76419,Jimmy Collins,0
757,1628381,John Collins,0
758,200776,Mardy Collins,0
759,202395,Sherron Collins,0
760,1628380,Zach Collins,0
761,1627858,Kyle Collinsworth,0
762,201954,Darren Collison,0
763,2555,Nick Collison,0
764,76422,Joe Colone,0
765,1629045,Bonzie Colson,0
766,2173,Sean Colson,0
767,306,Steve Colter,0
768,76425,Leroy Combs,0
769,76426,Dallas Comegys,0
770,76427,Larry Comley,0
771,76428,Gene Conley,0
772,201144,Mike Conley,0
773,76429,Ed Conlin,0
774,55,Marty Conlon,0
775,1626192,Pat Connaughton,0
776,76431,Lester Conner,0
777,76432,Chuck Connors,0
778,101215,Will Conroy,0
779,76433,Anthony Cook,0
780,76434,Bert Cook,0
781,76438,Bobby Cook,0
782,2567,Brian Cook,0
783,201161,Daequan Cook,0
784,76435,Darwin Cook,0
785,76436,Jeff Cook,0
786,76437,Norm Cook,0
787,2241,Omar Cook,0
788,1626188,Quinn Cook,0
789,1629076,Tyler Cook,0
790,1628429,Charles Cooke,0
791,76439,David Cooke,0
792,76440,Joe Cooke,0
793,204022,Jack Cooley,0
794,76442,Chuck Cooper,0
795,1030,Duane Cooper,0
796,76443,Joe Cooper,0
797,76444,Michael Cooper,0
798,76441,Wayne Cooper,0
799,76446,Tom Copa,0
800,203142,Chris Copeland,0
801,76447,Hollis Copeland,0
802,76448,Lanard Copeland,0
803,895,Tyrone Corbin,0
804,76450,Chris Corchiani,0
805,76451,Ken Corley,0
806,76452,Ray Corley,0
807,76453,Dave Corzine,0
808,76454,Larry Costello,0
809,1627856,Matt Costello,0
810,203955,Bryce Cotton,0
811,76456,Jack Cotton,0
812,1526,James Cotton,0
813,76457,John Coughran,0
814,76458,Mel Counts,0
815,76459,Steve Courtin,0
816,1432,Joe Courtney,0
817,202408,Marcus Cousin,0
818,202326,DeMarcus Cousins,0
819,600003,Bob Cousy,0
820,203496,Robert Covington,0
821,76462,Dave Cowens,0
822,76463,John Cox,0
823,76464,Johnny Cox,0
824,76465,Wesley Cox,0
825,203459,Allen Crabbe,0
826,1628470,Torrey Craig,0
827,1544,Chris Crawford,0
828,76466,Freddie Crawford,0
829,2037,Jamal Crawford,0
830,201621,Joe Crawford,0
831,202348,Jordan Crawford,0
832,1628249,Mitchell Creek,0
833,76468,Jim Creighton,0
834,76469,Ron Crevier,0
835,76470,Hal Crisler,0
836,2343,Joe Crispin,0
837,76471,Charlie Criss,0
838,76472,Winston Crite,0
839,201159,Javaris Crittenton,0
840,76473,Dillard Crocker,0
841,76474,Jeffrey Crompton,0
842,76475,Terry Crosby,0
843,1506,Austin Croshere,0
844,76476,Jeff Cross,0
